adverse_event,report_count
OFF LABEL USE,95823
DRUG INEFFECTIVE,80340
FATIGUE,54799
DEATH,53533
PRODUCT DOSE OMISSION ISSUE,51317
NAUSEA,49579
DIARRHOEA,46716
HEADACHE,38258
PRURITUS,36395
DYSPNOEA,36170
PAIN,34125
RASH,33219
ARTHRALGIA,32225
VOMITING,31717
DIZZINESS,30247
CONDITION AGGRAVATED,29655
INJECTION SITE PAIN,28903
INCORRECT DOSE ADMINISTERED,28824
PRODUCT USE IN UNAPPROVED INDICATION,28693
INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,27460
PNEUMONIA,24695
MALAISE,24479
ASTHENIA,24015
PYREXIA,22029
COUGH,21527
FALL,21218
ILLNESS,18766
WEIGHT DECREASED,18568
CONSTIPATION,17593
DECREASED APPETITE,16994
WEIGHT INCREASED,16329
WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,16102
NO ADVERSE EVENT,16084
PAIN IN EXTREMITY,16041
DERMATITIS ATOPIC,15841
ABDOMINAL PAIN,15799
PRODUCT USE ISSUE,15670
NASOPHARYNGITIS,15400
COVID-19,15352
ANXIETY,15273
DRUG DOSE OMISSION BY DEVICE,15095
INSOMNIA,14590
ABDOMINAL PAIN UPPER,14226
HYPERTENSION,13954
BACK PAIN,13868
HOSPITALISATION,13291
ASTHMA,13218
URTICARIA,13020
ERYTHEMA,12981
URINARY TRACT INFECTION,12814
TOXICITY TO VARIOUS AGENTS,12401
SOMNOLENCE,12315
ACCIDENTAL EXPOSURE TO PRODUCT,12295
PERIPHERAL SWELLING,12147
INFECTION,11820
ABDOMINAL DISCOMFORT,11805
HYPERSENSITIVITY,11797
HYPOTENSION,11753
THERAPY INTERRUPTED,11651
INFLUENZA,11456
PRODUCT STORAGE ERROR,11233
FEELING ABNORMAL,11214
ACUTE KIDNEY INJURY,11183
ALOPECIA,11075
GENERAL PHYSICAL HEALTH DETERIORATION,10837
ANAEMIA,10815
GAIT DISTURBANCE,10665
MUSCLE SPASMS,10585
DEPRESSION,10482
DRY SKIN,10403
MYALGIA,10198
SEIZURE,10117
DRUG HYPERSENSITIVITY,10055
NEUTROPENIA,10012
BLOOD PRESSURE INCREASED,9957
CHEST PAIN,9925
ECZEMA,9792
GASTROINTESTINAL DISORDER,9431
VISUAL IMPAIRMENT,9403
MATERNAL EXPOSURE DURING PREGNANCY,9393
DEVICE ISSUE,9233
JOINT SWELLING,9201
CONFUSIONAL STATE,9197
HOT FLUSH,9101
VISION BLURRED,9079
BLOOD GLUCOSE INCREASED,9032
OVERDOSE,8796
HYPOAESTHESIA,8784
ADVERSE DRUG REACTION,8657
INTENTIONAL PRODUCT USE ISSUE,8625
TREMOR,8574
DISEASE PROGRESSION,8527
MALIGNANT NEOPLASM PROGRESSION,8521
